,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
0,Pirelli,Winter Ice Zero,215.0,65.0,17.0,T,103.0,11350.0,29.0,5.0
1,Michelin,X-Ice North 4,195.0,65.0,15.0,T,95.0,7600.0,19.0,5.0
2,Goodyear,Ultra Grip Ice 2,225.0,50.0,17.0,T,98.0,10470.0,10.0,5.0
3,Pirelli,Winter Ice Zero 2,215.0,55.0,16.0,T,97.0,11240.0,29.0,5.0
4,Pirelli,Scorpion Ice Zero 2,235.0,55.0,18.0,H,104.0,17050.0,29.0,0.0
5,Michelin,X-Ice Snow,245.0,45.0,17.0,H,99.0,17020.0,19.0,0.0
6,Goodyear,UltraGrip 9+,185.0,60.0,15.0,T,88.0,7230.0,10.0,5.0
7,Pirelli,Formula Ice,195.0,65.0,15.0,T,91.0,5370.0,29.0,5.0
8,Michelin,X-Ice North 4 SUV,285.0,45.0,21.0,T,113.0,30310.0,19.0,5.0
9,Pirelli,Winter Ice Zero,205.0,55.0,16.0,T,94.0,7090.0,29.0,5.0
10,Pirelli,Winter Ice Zero 2,215.0,65.0,16.0,T,102.0,9600.0,29.0,5.0
11,Michelin,Latitude X-Ice 2 Run Flat,255.0,55.0,18.0,T,109.0,21970.0,19.0,5.0
12,Goodyear,UltraGrip Ice Gen-1 SUV,225.0,55.0,18.0,T,102.0,11090.0,10.0,5.0
13,Pirelli,Formula Ice,225.0,55.0,18.0,T,102.0,10250.0,29.0,5.0
14,Michelin,X-Ice North 4,205.0,50.0,17.0,T,93.0,14600.0,19.0,5.0
15,Goodyear,UltraGrip Ice Gen-1 SUV,235.0,65.0,17.0,T,108.0,11000.0,10.0,5.0
16,Goodyear,Ultra Grip Ice Arctic,235.0,50.0,17.0,T,100.0,11210.0,10.0,5.0
17,Cordiant,Snow Cross 2 SUV,215.0,70.0,16.0,T,104.0,7150.0,0.0,5.0
18,Goodyear,Ultra Grip Ice Arctic,185.0,60.0,15.0,T,88.0,6510.0,10.0,5.0
19,Bridgestone,Blizzak Revo GZ,175.0,65.0,14.0,S,82.0,4990.0,16.0,7.0
20,Nokian,Tyres Hakkapeliitta R3,235.0,50.0,17.0,R,100.0,12720.0,23.0,8.0
21,Pirelli,Formula Ice,225.0,60.0,18.0,T,104.0,10540.0,29.0,5.0
22,Pirelli,Formula Ice,225.0,55.0,17.0,T,101.0,7960.0,29.0,5.0
23,Pirelli,Winter Ice Zero,215.0,55.0,18.0,T,99.0,15930.0,29.0,5.0
24,Triangle,TRIN PL01,225.0,50.0,17.0,R,98.0,6570.0,36.0,8.0
25,Triangle,TRIN PL01,225.0,55.0,17.0,R,101.0,7020.0,36.0,8.0
26,Michelin,X-Ice North 4 SUV,235.0,55.0,19.0,T,105.0,18610.0,19.0,5.0
27,Cordiant,Snow Cross 2,195.0,55.0,15.0,T,89.0,5110.0,0.0,5.0
28,Cordiant,Snow Cross 2,205.0,55.0,16.0,T,94.0,4680.0,0.0,5.0
29,Белшина,BEL-357 Artmotionsnow,175.0,65.0,14.0,T,82.0,3030.0,25.0,5.0
30,Cordiant,Snow Cross 2,175.0,70.0,13.0,T,82.0,3130.0,0.0,5.0
31,Dunlop,SP Winter Ice 03,205.0,65.0,16.0,T,99.0,10000.0,14.0,5.0
32,Laufenn,I FIT ICE LW71,175.0,70.0,13.0,T,82.0,5040.0,11.0,5.0
33,Nankang,ICE1,255.0,55.0,19.0,Q,111.0,10890.0,33.0,9.0
34,Nankang,SW8,255.0,55.0,18.0,T,109.0,9120.0,33.0,5.0
35,Nankang,IV1,205.0,65.0,16.0,R,107.0,8320.0,33.0,8.0
36,Nankang,SL-6,235.0,65.0,16.0,R,121.0,8290.0,33.0,8.0
37,Nokian,Tyres Nordman RS2,185.0,60.0,14.0,R,82.0,5180.0,23.0,8.0
38,Nokian,Tyres Hakkapeliitta 9 SUV,215.0,65.0,17.0,T,103.0,17330.0,23.0,5.0
39,Nokian,Tyres Hakkapeliitta 9,255.0,45.0,19.0,T,104.0,17590.0,23.0,5.0
40,Nokian,Tyres Nordman 7,235.0,55.0,17.0,T,103.0,12370.0,23.0,5.0
41,Nokian,Tyres Nordman 7 SUV,235.0,75.0,15.0,T,105.0,12530.0,23.0,5.0
42,Nokian,Tyres Nordman 7 SUV,245.0,60.0,18.0,T,109.0,14480.0,23.0,5.0
43,Nokian,Tyres Hakkapeliitta 10p,205.0,65.0,16.0,T,95.0,14110.0,23.0,5.0
44,Hankook,Winter i Pike RS2 W429,225.0,55.0,17.0,T,101.0,13820.0,6.0,5.0
45,Pirelli,Formula Winter,185.0,65.0,15.0,T,88.0,4840.0,29.0,5.0
46,Viatti,Brina Nordico (V-522),225.0,45.0,17.0,T,94.0,7340.0,20.0,5.0
47,Laufenn,I FIT ICE LW71,205.0,55.0,16.0,T,91.0,7090.0,11.0,5.0
48,Ling,Long Green-Max Winter Ice I-15,195.0,55.0,16.0,T,91.0,5040.0,24.0,5.0
49,Nankang,SL-6,215.0,65.0,16.0,R,109.0,6590.0,33.0,8.0
50,Ling,Long Green-Max Winter HP,185.0,65.0,14.0,T,86.0,3550.0,24.0,5.0
51,Nokian,Tyres Hakkapeliitta R3,185.0,65.0,15.0,R,88.0,5950.0,23.0,8.0
52,BFGoodrich,G Force Stud,205.0,50.0,17.0,Q,93.0,8860.0,17.0,9.0
53,Nokian,Tyres Nordman C,195.0,70.0,15.0,R,104.0,9910.0,23.0,8.0
54,Nokian,Tyres Nordman RS2 SUV,225.0,65.0,17.0,R,106.0,8970.0,23.0,8.0
55,Nokian,Tyres Nordman RS2 SUV,215.0,60.0,17.0,R,100.0,8550.0,23.0,8.0
56,Pirelli,Ice Zero Friction,215.0,55.0,17.0,H,98.0,9020.0,29.0,0.0
57,Nokian,Tyres Nordman RS2,175.0,70.0,14.0,R,88.0,4810.0,23.0,8.0
58,Nokian,Tyres Nordman RS2,215.0,55.0,17.0,R,98.0,9110.0,23.0,8.0
59,Nokian,Tyres Nordman RS2,185.0,65.0,15.0,R,92.0,5120.0,23.0,8.0
60,Bridgestone,Blizzak Spike-02,175.0,70.0,14.0,T,84.0,6500.0,16.0,5.0
61,Bridgestone,Blizzak Spike-02,185.0,65.0,15.0,T,88.0,6830.0,16.0,5.0
62,Bridgestone,Blizzak DM-V3,225.0,60.0,17.0,S,103.0,17330.0,16.0,7.0
63,Nokian,Tyres Hakkapeliitta 9,205.0,60.0,16.0,T,96.0,10410.0,23.0,5.0
64,Nokian,Tyres Hakkapeliitta 9,195.0,65.0,15.0,T,95.0,7810.0,23.0,5.0
65,Nokian,Tyres Hakkapeliitta 9,175.0,65.0,14.0,T,86.0,7030.0,23.0,5.0
66,Nokian,Tyres Hakkapeliitta 9,185.0,60.0,15.0,T,88.0,7560.0,23.0,5.0
67,Nokian,Tyres Hakkapeliitta 9,215.0,55.0,17.0,T,98.0,16080.0,23.0,5.0
68,Nokian,Tyres Nordman 7,215.0,55.0,17.0,T,98.0,11400.0,23.0,5.0
69,Nokian,Tyres Nordman 7,215.0,60.0,16.0,T,99.0,8770.0,23.0,5.0
70,Nokian,Tyres Nordman 7,225.0,55.0,17.0,T,101.0,11360.0,23.0,5.0
71,Nokian,Tyres Nordman 7 SUV,235.0,60.0,16.0,T,104.0,10860.0,23.0,5.0
72,Nokian,Tyres Nordman 7 SUV,235.0,55.0,18.0,T,104.0,14880.0,23.0,5.0
73,Nokian,Tyres Hakkapeliitta 9 SUV,225.0,65.0,17.0,T,106.0,14790.0,23.0,5.0
74,Cordiant,Snow Cross,225.0,65.0,17.0,T,106.0,6770.0,0.0,5.0
75,Cordiant,Snow Cross,225.0,60.0,17.0,T,103.0,7200.0,0.0,5.0
76,Pirelli,Winter Ice Zero,215.0,60.0,16.0,T,99.0,9360.0,29.0,5.0
77,Pirelli,Winter Ice Zero,185.0,70.0,14.0,T,88.0,6130.0,29.0,5.0
78,Pirelli,Ice Zero Friction,195.0,65.0,15.0,T,95.0,5170.0,29.0,5.0
79,Pirelli,Ice Zero Friction,235.0,55.0,19.0,H,105.0,10740.0,29.0,0.0
80,Hankook,Winter i Pike RS2 W429,205.0,65.0,16.0,T,95.0,9560.0,6.0,5.0
81,Hankook,Winter i Pike RS2 W429,215.0,50.0,17.0,T,95.0,12810.0,6.0,5.0
82,Hankook,Winter i Pike RS2 W429,215.0,55.0,17.0,T,98.0,13150.0,6.0,5.0
83,Goodyear,Ultra Grip 600,215.0,55.0,17.0,T,98.0,12240.0,10.0,5.0
84,Белшина,BEL-317 Artmotionsnow,205.0,55.0,16.0,T,91.0,4490.0,25.0,5.0
85,Nankang,SW7,215.0,60.0,17.0,T,100.0,6750.0,33.0,5.0
86,Nokian,Tyres Nordman 8,215.0,60.0,17.0,T,100.0,14510.0,23.0,5.0
87,Continental,Ice Contact 3 TA,215.0,65.0,16.0,T,102.0,10410.0,8.0,5.0
88,Michelin,X-Ice North 4,245.0,40.0,19.0,T,98.0,22350.0,19.0,5.0
89,Goodyear,Ultra Grip 600,215.0,65.0,16.0,T,98.0,9630.0,10.0,5.0
90,Nankang,SW7,185.0,60.0,14.0,T,82.0,4070.0,33.0,5.0
91,Bridgestone,Blizzak Revo GZ,195.0,60.0,15.0,S,88.0,6290.0,16.0,7.0
92,Nokian,Tyres Hakkapeliitta 10p,185.0,60.0,15.0,T,88.0,8980.0,23.0,5.0
93,Nokian,Tyres Hakkapeliitta 10p,195.0,65.0,15.0,T,95.0,8960.0,23.0,5.0
94,Nokian,Tyres Hakkapeliitta 10p,215.0,55.0,17.0,T,98.0,18910.0,23.0,5.0
95,Nokian,Tyres Hakkapeliitta 10p,215.0,60.0,16.0,T,99.0,14300.0,23.0,5.0
96,Nokian,Tyres Nordman 8 SUV,215.0,70.0,16.0,T,104.0,13020.0,23.0,5.0
97,Nokian,Tyres Hakkapeliitta 10p SUV,235.0,55.0,19.0,T,105.0,21470.0,23.0,5.0
98,Nokian,Tyres Hakkapeliitta 10p SUV,235.0,60.0,18.0,T,107.0,20750.0,23.0,5.0
99,Nankang,ICE1,215.0,60.0,17.0,Q,100.0,6500.0,33.0,9.0
100,Michelin,X-Ice North 4 SUV,235.0,55.0,18.0,T,104.0,18420.0,19.0,5.0
101,Nokian,Tyres Nordman 7,215.0,50.0,17.0,T,95.0,10290.0,23.0,5.0
102,Nokian,Tyres Nordman 8,195.0,55.0,15.0,T,89.0,8360.0,23.0,5.0
103,Nokian,Tyres Nordman 8,215.0,60.0,16.0,T,99.0,10310.0,23.0,5.0
104,Hankook,Winter i Pike X W429A,225.0,60.0,17.0,T,103.0,13690.0,6.0,5.0
105,Pirelli,Formula Ice,225.0,60.0,17.0,T,99.0,7800.0,29.0,5.0
106,Bridgestone,Blizzak Spike-02,195.0,65.0,15.0,T,91.0,7340.0,16.0,5.0
107,Nokian,Tyres Nordman 7 SUV,215.0,70.0,16.0,T,100.0,10860.0,23.0,5.0
108,Nokian,Tyres Nordman 7 SUV,225.0,60.0,18.0,T,104.0,13290.0,23.0,5.0
109,Nokian,Tyres Hakkapeliitta 9 SUV,225.0,60.0,17.0,T,103.0,16460.0,23.0,5.0
110,Viatti,Bosco Nordico (V-523),225.0,65.0,17.0,T,102.0,6550.0,20.0,5.0
111,Белшина,BEL-337 Artmotionsnow,195.0,65.0,15.0,T,91.0,3460.0,25.0,5.0
112,Tunga,Nordway 2,195.0,65.0,15.0,Q,91.0,3360.0,4.0,9.0
113,Viatti,Brina Nordico (V-522),225.0,50.0,17.0,T,94.0,6560.0,20.0,5.0
114,Bridgestone,Blizzak Spike-02,205.0,55.0,16.0,T,91.0,8870.0,16.0,5.0
115,Pirelli,Winter Ice Zero 2,235.0,45.0,18.0,H,98.0,19070.0,29.0,0.0
116,Pirelli,Winter Ice Zero 2,225.0,50.0,17.0,T,98.0,12180.0,29.0,5.0
117,Hankook,Winter i Pike X W429A,205.0,70.0,15.0,T,96.0,9020.0,6.0,5.0
118,Nokian,Tyres Nordman 8,195.0,60.0,15.0,T,92.0,6690.0,23.0,5.0
119,Cordiant,Snow Cross,215.0,60.0,17.0,T,100.0,7310.0,0.0,5.0
120,Ling,Long Green-Max Winter HP,175.0,70.0,13.0,T,82.0,3390.0,24.0,5.0
121,Nokian,Tyres Nordman 7,195.0,60.0,16.0,T,93.0,7940.0,23.0,5.0
122,Bridgestone,Blizzak Revo GZ,215.0,65.0,16.0,S,98.0,8940.0,16.0,7.0
123,Pirelli,Ice Zero Friction,225.0,60.0,17.0,H,103.0,8400.0,29.0,0.0
124,Nokian,Tyres Nordman 7 SUV,255.0,55.0,18.0,T,109.0,12550.0,23.0,5.0
125,Ling,Long Green-Max Winter HP,195.0,65.0,15.0,T,95.0,3650.0,24.0,5.0
126,Nokian,Tyres Nordman 8,215.0,55.0,17.0,T,98.0,13070.0,23.0,5.0
127,Nankang,IV1,235.0,65.0,16.0,R,121.0,8990.0,33.0,8.0
128,Hankook,Winter i Pike RS2 W429,175.0,65.0,14.0,T,86.0,6070.0,6.0,5.0
129,Bridgestone,Blizzak Revo GZ,185.0,60.0,15.0,S,84.0,6320.0,16.0,7.0
130,Cordiant,Winter Drive,205.0,55.0,16.0,T,94.0,4960.0,0.0,5.0
131,Nokian,Tyres Nordman 7 SUV,225.0,65.0,17.0,T,106.0,10450.0,23.0,5.0
132,Nokian,Tyres Hakkapeliitta 9 SUV,215.0,65.0,16.0,T,102.0,10880.0,23.0,5.0
133,Nokian,Tyres Nordman RS2,205.0,65.0,15.0,R,99.0,5930.0,23.0,8.0
134,Nokian,Tyres Nordman 7,195.0,55.0,16.0,T,91.0,8230.0,23.0,5.0
135,Pirelli,Winter Ice Zero,215.0,55.0,17.0,T,98.0,10490.0,29.0,5.0
136,Pirelli,Winter Ice Zero,185.0,60.0,15.0,T,88.0,6570.0,29.0,5.0
137,Кама,ALGA (НК-531),175.0,70.0,13.0,T,82.0,2790.0,13.0,5.0
138,Nokian,Tyres Nordman 8 SUV,215.0,65.0,16.0,T,102.0,9640.0,23.0,5.0
139,Hankook,Winter i Pike X W429A,205.0,70.0,15.0,T,96.0,9020.0,6.0,5.0
140,Nokian,Tyres Nordman 8,195.0,60.0,15.0,T,92.0,6690.0,23.0,5.0
141,Tunga,Nordway 2,195.0,65.0,15.0,Q,91.0,3360.0,4.0,9.0
142,Nokian,Tyres Nordman 7,195.0,60.0,16.0,T,93.0,7940.0,23.0,5.0
143,Hankook,Winter i Pike RS2 W429,215.0,65.0,16.0,T,102.0,9670.0,6.0,5.0
144,Белшина,BEL-287 Artmotionsnow,185.0,65.0,15.0,T,88.0,3580.0,25.0,5.0
145,Белшина,BEL-267 Artmotionsnow,185.0,60.0,14.0,T,82.0,3530.0,25.0,5.0
146,Ling,Long Green-Max Winter HP,175.0,70.0,13.0,T,82.0,3390.0,24.0,5.0
147,Pirelli,Winter Ice Zero,215.0,55.0,17.0,T,98.0,10490.0,29.0,5.0
148,Pirelli,Winter Ice Zero,185.0,60.0,15.0,T,88.0,6570.0,29.0,5.0
149,Nokian,Tyres Nordman RS2,205.0,65.0,15.0,R,99.0,5930.0,23.0,8.0
150,Nokian,Tyres Nordman 7,195.0,55.0,16.0,T,91.0,8230.0,23.0,5.0
151,Nokian,Tyres Nordman 8,215.0,55.0,17.0,T,98.0,13070.0,23.0,5.0
152,Hankook,Winter i Pike RS2 W429,175.0,65.0,14.0,T,86.0,6070.0,6.0,5.0
153,Bridgestone,Blizzak Revo GZ,185.0,60.0,15.0,S,84.0,6320.0,16.0,7.0
154,Cordiant,Winter Drive,205.0,55.0,16.0,T,94.0,4960.0,0.0,5.0
155,Gislaved,Nord Frost 200 HD,185.0,65.0,14.0,T,90.0,5850.0,31.0,5.0
156,Nokian,Tyres Nordman 7,185.0,70.0,14.0,T,92.0,6010.0,23.0,5.0
157,Nokian,Tyres Nordman 7 SUV,215.0,60.0,17.0,T,100.0,11550.0,23.0,5.0
158,Continental,Viking Contact 7,185.0,65.0,15.0,T,92.0,6060.0,8.0,5.0
159,Nankang,SL-6,235.0,65.0,16.0,R,115.0,7740.0,33.0,8.0
160,Nokian,Tyres Hakkapeliitta 9,215.0,60.0,16.0,T,99.0,12310.0,23.0,5.0
161,Nokian,Tyres Nordman 7,175.0,70.0,14.0,T,88.0,5560.0,23.0,5.0
162,Nokian,Tyres Nordman 7 SUV,285.0,60.0,18.0,T,116.0,13390.0,23.0,5.0
163,Nokian,Tyres Hakkapeliitta 9 SUV,215.0,60.0,17.0,T,100.0,18330.0,23.0,5.0
164,Pirelli,Formula Ice,195.0,55.0,16.0,T,91.0,6260.0,29.0,5.0
165,Pirelli,Formula Ice,185.0,60.0,14.0,T,82.0,4990.0,29.0,5.0
166,Bridgestone,Blizzak Spike-02 SUV,235.0,60.0,18.0,T,107.0,16510.0,16.0,5.0
167,Nokian,Tyres Nordman RS2,205.0,55.0,16.0,R,94.0,6630.0,23.0,8.0
168,Nokian,Tyres Hakkapeliitta 9,185.0,65.0,15.0,T,92.0,7060.0,23.0,5.0
169,Nokian,Tyres Nordman 7,185.0,65.0,14.0,T,90.0,5660.0,23.0,5.0
170,Nokian,Tyres Hakkapeliitta 9 SUV,235.0,55.0,18.0,T,104.0,18680.0,23.0,5.0
